,DateTime,local_datetime,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,DHI,DNI,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Kcs
0,2022-01-01 15:20:00,2022-01-01 08:20:00,-12.1,1.15,0.089,0.62,51,520,129,-17.2,50,1,51,0.295,66.0,81.42,0.97,0.8,818,0.4,21,2.5,0.395
1,2022-01-01 15:30:00,2022-01-01 08:30:00,-12.0,1.15,0.089,0.62,56,571,156,-17.2,68,2,68,0.296,65.48,79.97,0.97,0.8,818,0.4,21,2.6,0.436
2,2022-01-01 15:40:00,2022-01-01 08:40:00,-11.9,1.14,0.09,0.62,62,613,183,-17.0,39,0,39,0.296,65.56,78.56,0.97,0.8,818,0.4,21,2.7,0.213
3,2022-01-01 15:50:00,2022-01-01 08:50:00,-11.8,1.14,0.09,0.62,67,650,211,-17.0,9,0,9,0.296,65.03,77.19,0.97,0.8,818,0.4,20,2.8,0.043
4,2022-01-01 16:00:00,2022-01-01 09:00:00,-11.7,1.14,0.09,0.62,71,682,238,-17.0,45,0,45,0.297,64.51,75.86,0.97,0.8,818,0.4,20,2.9,0.189
5,2022-01-01 16:10:00,2022-01-01 09:10:00,-11.7,1.14,0.09,0.62,75,711,264,-17.0,113,4,114,0.297,64.51,74.58,0.97,0.8,818,0.4,19,2.9,0.432
6,2022-01-01 16:20:00,2022-01-01 09:20:00,-11.6,1.14,0.09,0.62,78,735,289,-17.0,75,0,75,0.297,64.0,73.35,0.97,0.8,818,0.4,18,3.0,0.26
7,2022-01-01 16:30:00,2022-01-01 09:30:00,-11.6,1.14,0.09,0.62,82,757,313,-17.0,93,1,93,0.298,64.08,72.17,0.97,0.8,819,0.4,17,3.1,0.297
8,2022-01-01 16:40:00,2022-01-01 09:40:00,-11.6,1.13,0.091,0.62,85,774,336,-17.1,47,0,47,0.298,63.79,71.05,0.97,0.8,819,0.4,16,3.1,0.14
9,2022-01-01 16:50:00,2022-01-01 09:50:00,-11.5,1.13,0.091,0.62,88,791,359,-17.1,53,0,53,0.298,63.28,69.98,0.97,0.8,819,0.4,15,3.2,0.148
10,2022-01-01 17:00:00,2022-01-01 10:00:00,-11.5,1.13,0.091,0.62,90,806,379,-17.1,72,0,72,0.298,63.28,68.98,0.97,0.8,819,0.4,14,3.3,0.19
